batter_name,mlbam_id,matched_name,match_score,team,position,bats,throws,height,weight,birth_date,age,bio,headshot_url
Ketel Marte,606466,Ketel Marte,1.200,Arizona Diamondbacks,Second Base,S,R,"6' 0""",210,1993-10-12,32,Ketel Marte • Second Base • Bats Switch / Throws Right • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/606466/headshot/silo/current"
Cooper Hummel,669450,Cooper Hummel,1.200,Durham Bulls,Outfielder,S,R,"5' 9""",198,1994-11-28,31,Cooper Hummel • Outfielder • Bats Switch / Throws Right • Durham Bulls,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/669450/headshot/silo/current"
Humberto Mejía,650668,Humberto Mejía,1.200,Syracuse Mets,Pitcher,R,R,"6' 4""",244,1997-03-03,28,Humberto Mejía • Pitcher • Bats Right / Throws Right • Syracuse Mets,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/650668/headshot/silo/current"
Alex Young,622065,Alex Young,1.200,Louisville Bats,Pitcher,L,L,"6' 3""",220,1993-09-09,32,Alex Young • Pitcher • Bats Left / Throws Left • Louisville Bats,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/622065/headshot/silo/current"
James McCann,543510,James McCann,1.200,Arizona Diamondbacks,Catcher,R,R,"6' 3""",235,1990-06-13,35,James McCann • Catcher • Bats Right / Throws Right • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/543510/headshot/silo/current"
Wilmer Difo,594694,Wilmer Difo,1.200,Aguilas Cibaenas,Shortstop,S,R,"5' 10""",200,1992-04-02,33,Wilmer Difo • Shortstop • Bats Switch / Throws Right • Aguilas Cibaenas,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/594694/headshot/silo/current"
Josh Naylor,647304,Josh Naylor,1.200,Seattle Mariners,First Base,L,L,"5' 10""",235,1997-06-22,28,Josh Naylor • First Base • Bats Left / Throws Left • Seattle Mariners,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/647304/headshot/silo/current"
Caleb Smith,592761,Caleb Smith,1.200,Dorados de Chihuahua,Pitcher,R,L,"6' 0""",207,1991-07-28,34,Caleb Smith • Pitcher • Bats Right / Throws Left • Dorados de Chihuahua,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/592761/headshot/silo/current"
Tommy Pham,502054,Tommy Pham,1.200,Pittsburgh Pirates,Outfielder,R,R,"6' 1""",225,1988-03-08,37,Tommy Pham • Outfielder • Bats Right / Throws Right • Pittsburgh Pirates,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/502054/headshot/silo/current"
Carson Kelly,608348,Carson Kelly,1.200,Chicago Cubs,Catcher,R,R,"6' 1""",212,1994-07-14,31,Carson Kelly • Catcher • Bats Right / Throws Right • Chicago Cubs,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/608348/headshot/silo/current"
Stuart Fairchild,656413,Stuart Fairchild,1.200,Cleveland Guardians,Outfielder,R,R,"5' 11""",205,1996-03-17,29,Stuart Fairchild • Outfielder • Bats Right / Throws Right • Cleveland Guardians,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/656413/headshot/silo/current"
Kole Calhoun,594777,Kole Calhoun,1.200,Cleveland Guardians,Outfielder,L,L,"5' 10""",205,1987-10-14,38,Kole Calhoun • Outfielder • Bats Left / Throws Left • Cleveland Guardians,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/594777/headshot/silo/current"
Nick Ahmed,605113,Nick Ahmed,1.200,Round Rock Express,Shortstop,R,R,"6' 1""",201,1990-03-15,35,Nick Ahmed • Shortstop • Bats Right / Throws Right • Round Rock Express,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/605113/headshot/silo/current"
Eugenio Suárez,553993,Eugenio Suárez,1.200,Seattle Mariners,Third Base,R,R,"5' 11""",213,1991-07-18,34,Eugenio Suárez • Third Base • Bats Right / Throws Right • Seattle Mariners,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/553993/headshot/silo/current"
Starling Marte,516782,Starling Marte,1.200,New York Mets,Outfielder,R,R,"6' 0""",195,1988-10-09,37,Starling Marte • Outfielder • Bats Right / Throws Right • New York Mets,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/516782/headshot/silo/current"
Jake Faria,607188,Jake Faria,1.200,Gigantes del Cibao,Pitcher,R,R,"6' 4""",238,1993-07-30,32,Jake Faria • Pitcher • Bats Right / Throws Right • Gigantes del Cibao,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/607188/headshot/silo/current"
Scott McGough,543518,Scott McGough,1.200,Athletics,Pitcher,R,R,"5' 11""",190,1989-10-31,36,Scott McGough • Pitcher • Bats Right / Throws Right • Athletics,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/543518/headshot/silo/current"
